city,deliveryFee_deliveroo,deliveryFee_takeaway,fee_difference
Aalst,4.99,0.9914285714285714,3.9985714285714287
Antwerpen,4.937021276595745,4.288297872340426,0.6487234042553194
Borgerhout,4.99,5.215,-0.22499999999999964
Brugge,4.899545454545454,3.151818181818182,1.7477272727272728
Bruxelles,4.990111111111111,3.0284444444444443,1.961666666666667
Dendermonde,4.99,7.225,-2.235
Genk,4.99,5.0,-0.009999999999999787
Gent,4.99,4.645846153846154,0.3441538461538465
Grimbergen,4.99,7.0,-2.01
Hasselt,4.99,0.0,4.99
Kortrijk,4.99,1.1,3.8900000000000006
Leuven,4.99,2.6220588235294118,2.3679411764705884
Mechelen,4.99,3.3041791044776123,1.6858208955223881
Oostende,4.99,3.08,1.91
Roeselare,4.99,3.0,1.9900000000000002
Sint-Niklaas,4.99,0.0,4.99
Sint-Truiden,4.99,3.0,1.9900000000000002
Turnhout,4.99,0.0,4.99
Vilvoorde,3.992,2.6,1.3920000000000001
Waterloo,4.99,0.0,4.99
